"method","path","file","line","data_or_resource","sensitivity","effect","current_guard","current_role_enforcement","recommended_min_role","proposed_capability","audit_requirement","confirmation_or_idempotency"
"POST","/api/admin/finance/expenses","server/routes/admin.ts","6906","expense ledger and FX conversion","financial","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","finance.expenses.write","mandatory immutable before/result; currently absent","reason, confirmation for delete, optimistic concurrency and idempotency for create"
"PATCH","/api/admin/finance/expenses/:id","server/routes/admin.ts","6923","expense ledger and FX conversion","financial","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","finance.expenses.write","mandatory immutable before/result; currently absent","reason, confirmation for delete, optimistic concurrency and idempotency for create"
"DELETE","/api/admin/finance/expenses/:id","server/routes/admin.ts","6945","expense ledger and FX conversion","financial","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","finance.expenses.write","mandatory immutable before/result; currently absent","reason, confirmation for delete, optimistic concurrency and idempotency for create"
"POST","/api/admin/finance/sync","server/routes/admin.ts","6960","Stripe balance transactions into local ledger","critical provider operation and financial data","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","finance.sync","mandatory request/result","confirmation, single flight and idempotent provider transaction identity"
"GET","/api/admin/finance/fx-preview","server/routes/admin.ts","6971","subscriptions, registered financial movements, MRR/churn, expenses or FX","financial, sometimes customer-level","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","finance.read","not required","none"
"GET","/api/admin/ai-stats","server/routes/admin.ts","7067","AI usage, cost and per-user aggregates","internal cost metrics","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","ai.cost.read","not required","none"
"GET","/api/admin/ai-cost-per-user","server/routes/admin.ts","7097","AI usage, cost and per-user aggregates","behavioral PII and estimated cost","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","ai.cost.read","sensitive detail access log recommended","none"
"GET","/api/admin/ai-usage-summary","server/routes/admin.ts","7185","AI usage, cost and per-user aggregates","internal cost metrics","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","ai.cost.read","not required","none"
"GET","/api/admin/affiliates-stats","server/routes/admin.ts","7217","affiliate metrics and linked profiles","commission and PII","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","creators.read","not required for aggregate","none"
"GET","/api/admin/avatar-reports","server/routes/admin.ts","7299","profiles and avatar moderation reports","user-generated image moderation and reporter IDs","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","users.avatar_reports.read","sensitive moderation access log recommended","none"
"POST","/api/admin/avatar-reports/:userId/restore","server/routes/admin.ts","7365","profiles and avatar moderation reports","user-generated image moderation and reporter IDs","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","users.avatar.moderate","required with actor and result; table columns exist but no unified audit","confirmation and idempotent status transition"
"POST","/api/admin/avatar-reports/:userId/confirm","server/routes/admin.ts","7401","profiles and avatar moderation reports","user-generated image moderation and reporter IDs","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","users.avatar.moderate","required with actor and result; table columns exist but no unified audit","confirmation and idempotent status transition"
"GET","/api/admin/newsletter/subscribers","server/routes/admin.ts","7453","subscriptions, registered financial movements, MRR/churn, expenses or FX","financial, sometimes customer-level","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","finance.read","not required","none"
"POST","/api/admin/email-campaigns","server/routes/adminEmailCampaigns.ts","157","email campaigns, batches, recipients, suppression and audience eligibility","campaign content and delivery counters","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","email.campaign.write","required with audience, reason and result; current route has no unified audit","optimistic concurrency; confirm delete"
"GET","/api/admin/email-campaigns","server/routes/adminEmailCampaigns.ts","247","email campaigns, batches, recipients, suppression and audience eligibility","campaign content and delivery counters","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","email.campaign.read","not required","none"
"GET","/api/admin/email-campaigns/audience-count","server/routes/adminEmailCampaigns.ts","275","email campaigns, batches, recipients, suppression and audience eligibility","campaign content and delivery counters","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","email.campaign.read","not required","none"
"GET","/api/admin/email-campaigns/audience-recipients","server/routes/adminEmailCampaigns.ts","457","email campaigns, batches, recipients, suppression and audience eligibility","PII email and external communication","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","email.recipients.read","sensitive read access must be audited","none"
"GET","/api/admin/email-campaigns/:id","server/routes/adminEmailCampaigns.ts","648","email campaigns, batches, recipients, suppression and audience eligibility","campaign content and delivery counters","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","email.campaign.read","not required","none"
"PATCH","/api/admin/email-campaigns/:id","server/routes/adminEmailCampaigns.ts","696","email campaigns, batches, recipients, suppression and audience eligibility","campaign content and delivery counters","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","email.campaign.write","required with audience, reason and result; current route has no unified audit","optimistic concurrency; confirm delete"
"DELETE","/api/admin/email-campaigns/:id","server/routes/adminEmailCampaigns.ts","815","email campaigns, batches, recipients, suppression and audience eligibility","campaign content and delivery counters","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","email.campaign.write","required with audience, reason and result; current route has no unified audit","optimistic concurrency; confirm delete"
"GET","/api/admin/email-campaigns/:id/recipients","server/routes/adminEmailCampaigns.ts","971","email campaigns, batches, recipients, suppression and audience eligibility","PII email and external communication","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","email.recipients.read","sensitive read access must be audited","none"
"POST","/api/admin/email-campaigns/:id/test","server/routes/adminEmailCampaigns.ts","1038","email campaigns, batches, recipients, suppression and audience eligibility","PII email and external communication","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","email.send","required with audience, reason and result; current route has no unified audit","explicit confirmation, idempotency key and send result correlation"
"POST","/api/admin/email-campaigns/:id/batches","server/routes/adminEmailCampaigns.ts","1118","email campaigns, batches, recipients, suppression and audience eligibility","PII email and external communication","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","email.send","required with audience, reason and result; current route has no unified audit","explicit confirmation, idempotency key and send result correlation"
"DELETE","/api/admin/email-campaigns/:id/batches/:batchId","server/routes/adminEmailCampaigns.ts","1529","email campaigns, batches, recipients, suppression and audience eligibility","PII email and external communication","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","email.send","required with audience, reason and result; current route has no unified audit","explicit confirmation, idempotency key and send result correlation"
"POST","/api/admin/contact-lists/preview","server/routes/adminContactLists.ts","65","contact lists and member emails","PII and exportable contact data","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","contacts.write","required before and after mutation; currently absent","confirmation for import/delete and idempotent import"
"POST","/api/admin/contact-lists","server/routes/adminContactLists.ts","83","contact lists and member emails","PII and exportable contact data","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","contacts.write","required before and after mutation; currently absent","confirmation for import/delete and idempotent import"
"GET","/api/admin/contact-lists","server/routes/adminContactLists.ts","208","contact lists and member emails","PII and exportable contact data","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","contacts.read","audit detail/export access","none"
"GET","/api/admin/contact-lists/:id","server/routes/adminContactLists.ts","266","contact lists and member emails","PII and exportable contact data","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","contacts.read","audit detail/export access","none"
"DELETE","/api/admin/contact-lists/:id","server/routes/adminContactLists.ts","326","contact lists and member emails","PII and exportable contact data","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","contacts.write","required before and after mutation; currently absent","confirmation for import/delete and idempotent import"
"GET","/api/admin/contact-lists/:id/export","server/routes/adminContactLists.ts","354","contact lists and member emails","PII and exportable contact data","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","contacts.read","audit detail/export access","none"
"GET","/api/admin/notifications","server/routes/adminNotifications.ts","426","notifications, recipient snapshots and read statistics","communications and audience metadata","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","communications.read","not required","none"
"POST","/api/admin/notifications","server/routes/adminNotifications.ts","486","notifications, recipient snapshots and read statistics","communications and audience metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","communications.draft.write","required, including status transition and audience; currently no unified audit","optimistic concurrency for draft edits"
"PATCH","/api/admin/notifications/:id","server/routes/adminNotifications.ts","599","notifications, recipient snapshots and read statistics","communications and audience metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","communications.draft.write","required, including status transition and audience; currently no unified audit","optimistic concurrency for draft edits"
"GET","/api/admin/notifications/audience-preview","server/routes/adminNotifications.ts","837","notifications, recipient snapshots and read statistics","communications and audience metadata","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","communications.read","not required","none"
"POST","/api/admin/notifications/:id/publish","server/routes/adminNotifications.ts","968","notifications, recipient snapshots and read statistics","communications and audience metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","communications.publish","required, including status transition and audience; currently no unified audit","confirmation, reason for publish/archive and idempotent transition"
"POST","/api/admin/notifications/:id/schedule","server/routes/adminNotifications.ts","1094","notifications, recipient snapshots and read statistics","communications and audience metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","communications.publish","required, including status transition and audience; currently no unified audit","confirmation, reason for publish/archive and idempotent transition"
"POST","/api/admin/notifications/:id/unschedule","server/routes/adminNotifications.ts","1194","notifications, recipient snapshots and read statistics","communications and audience metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","communications.publish","required, including status transition and audience; currently no unified audit","confirmation, reason for publish/archive and idempotent transition"
"POST","/api/admin/notifications/:id/archive","server/routes/adminNotifications.ts","1248","notifications, recipient snapshots and read statistics","communications and audience metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","communications.publish","required, including status transition and audience; currently no unified audit","confirmation, reason for publish/archive and idempotent transition"
"GET","/api/admin/notifications/:id/stats","server/routes/adminNotifications.ts","1299","notifications, recipient snapshots and read statistics","communications and audience metadata","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","communications.read","not required","none"
"GET","/api/admin/notifications/:id/recipients","server/routes/adminNotifications.ts","1441","notifications, recipient snapshots and read statistics","PII email list","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","communications.recipients.read","sensitive read access must be audited","none"
"GET","/api/admin/bugs","server/routes/adminBugs.ts","94","local admin bugs and Sentry-linked metadata","internal errors","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","bugs.read","not required","disabled"
"POST","/api/admin/bugs","server/routes/adminBugs.ts","143","local admin bugs and Sentry-linked metadata","internal errors","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","bugs.write.disabled","route is deliberately disabled with 410","disabled"
"PATCH","/api/admin/bugs/:id","server/routes/adminBugs.ts","144","local admin bugs and Sentry-linked metadata","internal errors","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","bugs.write.disabled","route is deliberately disabled with 410","disabled"
"DELETE","/api/admin/bugs/:id","server/routes/adminBugs.ts","145","local admin bugs and Sentry-linked metadata","internal errors","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","bugs.write.disabled","route is deliberately disabled with 410","disabled"
"GET","/api/admin/crm/boards","server/routes/adminTasks.ts","607","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","crm.read","read access log only for sensitive Sentry payloads","none"
"POST","/api/admin/crm/boards","server/routes/adminTasks.ts","633","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"PATCH","/api/admin/crm/boards/:id","server/routes/adminTasks.ts","676","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"DELETE","/api/admin/crm/boards/:id","server/routes/adminTasks.ts","714","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"GET","/api/admin/crm/boards/:id/snapshot","server/routes/adminTasks.ts","749","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","crm.read","read access log only for sensitive Sentry payloads","none"
"POST","/api/admin/crm/columns","server/routes/adminTasks.ts","916","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"PATCH","/api/admin/crm/columns/reorder","server/routes/adminTasks.ts","960","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"PATCH","/api/admin/crm/columns/:id","server/routes/adminTasks.ts","1040","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"DELETE","/api/admin/crm/columns/:id","server/routes/adminTasks.ts","1072","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"POST","/api/admin/crm/tasks","server/routes/adminTasks.ts","1184","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"GET","/api/admin/crm/tasks/:id","server/routes/adminTasks.ts","1259","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","crm.read","read access log only for sensitive Sentry payloads","none"
