"method","path","capability","nature","risk","viewer","editor","owner","reason","confirmation","idempotency","audit"
"POST","/api/admin/users/:id/subscription/revoke","subscriptions.revoke","mutation","critical","no","no","yes","required","required","required","fail_closed"
"POST","/api/admin/users/:id/subscription/cancel","subscriptions.cancel","mutation","critical","no","no","yes","required","required","required","fail_closed"
"GET","/api/admin/users/:id/email-usage","users.email_usage.read","read","high","no","yes","yes","no","no","no","access"
"POST","/api/admin/users/:id/email","users.identity.update","mutation","critical","no","no","yes","required","required","required","fail_closed"
"PATCH","/api/admin/users/:id","users.profile.update","mutation","high","no","no","yes","required","required","required","fail_closed"
"GET","/api/admin/subscriptions","subscriptions.read","read","high","yes","yes","yes","no","no","no","access"
"GET","/api/admin/subscribers","subscriptions.read","read","high","yes","yes","yes","no","no","no","access"
"GET","/api/admin/billing-metrics","subscriptions.read","read","high","yes","yes","yes","no","no","no","access"
"GET","/api/admin/finance/summary","finance.read","read","high","yes","yes","yes","no","no","no","access"
"GET","/api/admin/finance/timeseries","finance.read","read","high","yes","yes","yes","no","no","no","access"
"GET","/api/admin/finance/transactions","finance.read","read","high","yes","yes","yes","no","no","no","access"
"GET","/api/admin/finance/expenses","finance.read","read","high","yes","yes","yes","no","no","no","access"
"GET","/api/admin/finance/fx-preview","finance.read","read","high","yes","yes","yes","no","no","no","access"
"GET","/api/admin/newsletter/subscribers","newsletter.subscribers.read","read","high","no","no","yes","no","no","no","access"
"POST","/api/admin/finance/expenses","finance.expenses.write","mutation","high","no","no","yes","required","required","required","fail_closed"
"PATCH","/api/admin/finance/expenses/:id","finance.expenses.write","mutation","high","no","no","yes","required","required","required","fail_closed"
"DELETE","/api/admin/finance/expenses/:id","finance.expenses.write","mutation","high","no","no","yes","required","required","required","fail_closed"
"POST","/api/admin/finance/sync","finance.sync","mutation","critical","no","no","yes","required","required","required","fail_closed"
"GET","/api/admin/ai-stats","ai.cost.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/ai-cost-per-user","ai.cost.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/ai-usage-summary","ai.cost.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/avatar-reports","users.avatar_reports.read","read","medium","yes","yes","yes","no","no","no","access"
"POST","/api/admin/avatar-reports/:userId/restore","users.avatar.moderate","mutation","medium","no","yes","yes","no","no","no","required"
"POST","/api/admin/avatar-reports/:userId/confirm","users.avatar.moderate","mutation","medium","no","yes","yes","no","no","no","required"
"POST","/api/admin/email-campaigns","email.campaign.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/admin/email-campaigns/:id","email.campaign.write","mutation","medium","no","yes","yes","no","no","no","required"
"DELETE","/api/admin/email-campaigns/:id","email.campaign.write","mutation","medium","no","yes","yes","no","no","no","required"
"GET","/api/admin/email-campaigns","email.campaign.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/email-campaigns/audience-count","email.campaign.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/email-campaigns/:id","email.campaign.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/email-campaigns/audience-recipients","email.recipients.read","read","high","no","no","yes","no","no","no","access"
"GET","/api/admin/email-campaigns/:id/recipients","email.recipients.read","read","high","no","no","yes","no","no","no","access"
"POST","/api/admin/email-campaigns/:id/test","email.send","mutation","critical","no","no","yes","required","required","required","fail_closed"
"POST","/api/admin/email-campaigns/:id/batches","email.send","mutation","critical","no","no","yes","required","required","required","fail_closed"
"DELETE","/api/admin/email-campaigns/:id/batches/:batchId","email.send","mutation","critical","no","no","yes","required","required","required","fail_closed"
"POST","/api/admin/contact-lists/preview","contacts.write","mutation","high","no","no","yes","required","required","required","fail_closed"
"POST","/api/admin/contact-lists","contacts.write","mutation","high","no","no","yes","required","required","required","fail_closed"
"DELETE","/api/admin/contact-lists/:id","contacts.write","mutation","high","no","no","yes","required","required","required","fail_closed"
"GET","/api/admin/contact-lists","contacts.read","read","high","no","no","yes","no","no","no","access"
"GET","/api/admin/contact-lists/:id","contacts.read","read","high","no","no","yes","no","no","no","access"
"GET","/api/admin/contact-lists/:id/export","contacts.read","read","high","no","no","yes","no","no","no","access"
"GET","/api/admin/notifications","communications.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/notifications/audience-preview","communications.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/notifications/:id/stats","communications.read","read","medium","yes","yes","yes","no","no","no","access"
"POST","/api/admin/notifications","communications.draft.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/admin/notifications/:id","communications.draft.write","mutation","medium","no","yes","yes","no","no","no","required"
"POST","/api/admin/notifications/:id/publish","communications.publish","mutation","critical","no","no","yes","required","required","required","fail_closed"
"POST","/api/admin/notifications/:id/schedule","communications.publish","mutation","critical","no","no","yes","required","required","required","fail_closed"
"POST","/api/admin/notifications/:id/unschedule","communications.publish","mutation","critical","no","no","yes","required","required","required","fail_closed"
"POST","/api/admin/notifications/:id/archive","communications.publish","mutation","critical","no","no","yes","required","required","required","fail_closed"
"GET","/api/admin/notifications/:id/recipients","communications.recipients.read","read","high","no","no","yes","no","no","no","access"
"GET","/api/admin/bugs","bugs.read","read","medium","yes","yes","yes","no","no","no","access"
"POST","/api/admin/bugs","bugs.write.disabled","mutation","medium","no","no","yes","no","no","no","required"
"PATCH","/api/admin/bugs/:id","bugs.write.disabled","mutation","medium","no","no","yes","no","no","no","required"
"DELETE","/api/admin/bugs/:id","bugs.write.disabled","mutation","medium","no","no","yes","no","no","no","required"
"GET","/api/admin/crm/boards","crm.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/crm/boards/:id/snapshot","crm.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/crm/tasks/:id","crm.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/crm/tasks/:id/activity","crm.read","read","medium","yes","yes","yes","no","no","no","access"
"POST","/api/admin/crm/boards","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/admin/crm/boards/:id","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"DELETE","/api/admin/crm/boards/:id","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"POST","/api/admin/crm/columns","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/admin/crm/columns/reorder","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/admin/crm/columns/:id","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"DELETE","/api/admin/crm/columns/:id","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"POST","/api/admin/crm/tasks","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/admin/crm/tasks/:id","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/admin/crm/tasks/:id/move","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"DELETE","/api/admin/crm/tasks/:id","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"POST","/api/admin/crm/labels","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/admin/crm/labels/:id","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"DELETE","/api/admin/crm/labels/:id","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"POST","/api/admin/crm/tasks/:id/labels","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"DELETE","/api/admin/crm/tasks/:id/labels/:labelId","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"POST","/api/admin/crm/tasks/:id/comments","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/admin/crm/comments/:id","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"DELETE","/api/admin/crm/comments/:id","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"POST","/api/admin/crm/tasks/:id/checklist","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/admin/crm/checklist/:id","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"DELETE","/api/admin/crm/checklist/:id","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/admin/crm/tasks/:id/checklist/reorder","crm.write","mutation","medium","no","yes","yes","no","no","no","required"
"GET","/api/vagas/admin","jobs.read","read","medium","yes","yes","yes","no","no","no","none"
"POST","/api/vagas/admin","jobs.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/vagas/admin/:id","jobs.write","mutation","medium","no","yes","yes","no","no","no","required"
