indicador,definicao_exibida,formula_atual,fontes,periodo_timezone,classificacao,limitacoes,risco_decisao
Reativações,"cancelamentos revertidos / recuperação em runtime","reverted count ou transição past_due->active em memória","subscription_cancellations + webhook runtime","total ou janela; sem série econômica completa","parcial como sinal; indisponível como MRR","reverter intenção manual não é obrigação; transição não é fato analítico garantido","atribuir retenção/receita inexistente"
Logo churn,"Churn 30d","saídas deduplicadas / activeAtStart aproximado","subscriptions + subscription_cancellations","janela móvel 30x24h UTC","parcial experimental","denominador reconstruído do estado atual; exclusão/órfãos; linha versus logo","decisão de retenção e LTV sobre taxa não comprovada"
Churn de receita,"não exibido","não existe","faltam obligation facts","não definido","indisponível","não há MRR histórico por logo nem valor antes da saída","NRR e forecast incorretos"
Gross Revenue Churn,"não exibido","não existe","faltam obligation facts","não definido","indisponível","sem Churned/Contraction MRR","subestimar erosão da base"
NRR,"não exibido","não existe","faltam obligation facts","não definido","indisponível","sem waterfall de MRR","não distinguir crescimento novo de retenção"
Inadimplência aberta,"receita em risco: em atraso","equivalente mensal de catálogo de past_due","subscriptions","foto atual","incorreto como saldo em aberto","não há obrigação, valor devido, vencimento, aging ou write-off","cobrança e provisão erradas"
Recuperação,"não exibida como KPI","past_due->active apenas classifica efeitos runtime","webhook Stripe","evento pontual","indisponível","sem fato imutável ligando dívida, pagamento e recuperação","não avaliar dunning"
ARPU,"Receita média por assinante ativo","MRR atual / activeCount","subscriptions + catálogo","foto atual","incorreto para decisão","numerador não é receita contratual/recebida; mistura manual e auto","pricing e unit economics errados"
LTV,"ARPU dividido pelo churn","ARPU atual / churnRate 30d quando >0","billingMetrics","foto atual + janela 30d","incorreto para decisão","duas aproximações; sem margem/cohort/maturidade","CAC máximo enganoso"
Receita diferida,"caixa referente a meses futuros","última charge próxima ao período x fração restante","subscriptions + finance_transactions","agora UTC","parcial","lookup por usuário; não liga charge ao ciclo; não inclui mensal; gross e descontos dependem do match","reconhecimento de receita incorreto"
Receita por plano,"quebra por plano","soma net_cents de charges por plan_code","finance_transactions","janela de caixa UTC","parcial","refunds não reduzem plano; plan_code pode ser null; cobertura desconhecida","mix e rentabilidade por plano errados"
Cupons,"uso/atribuição fora do KPI financeiro","contador times_redeemed e coupon_code na assinatura","coupons + subscriptions","acumulado; sem versão histórica","parcial","percentual/regra mutável; evento best-effort; sem impacto líquido por ciclo","ROI promocional incorreto"
Afiliados e comissões,"comissões de afiliados","contadores acumulados incrementados na ativação","affiliates + creator_events","acumulado; eventos desde 2026-09-14","parcial","sem ledger completo de earning/reversal/payment; eventos best-effort; renovação excluída","pagar ou provisionar comissão incorreta"
Plano manual,"misturado em recorrência e risco","preço catálogo mensalizado enquanto active","subscriptions renewal_type=manual","foto atual","incorreto como recorrência contratual","compra avulsa sem obrigação futura automática","superestimar MRR e retenção"
Plano gratuito/concessão,"acesso Pro por fonte em outro card","união de subscription e creator grant; fora do financeiro detalhado","subscriptions + creators","foto atual","parcial como acesso; não aplicável a receita","pode contaminar logos se não segregado","confundir usuários com clientes pagantes"
